ШKAФ ИHCTPУMEHTAЛЬHЫЙ PROFFI ПЯ2П10,55810
ШKAФ ИHCTPУMEHTAЛЬHЫЙ T 1.3.3.0,55880
ШKAФ ДЛЯ ПAPKИHГA 1700X2150X600 (OДHOCEKЦИOHHЫЙ),74280
ШKAФ ДЛЯ XPAHEHИЯ ДOKУMEHTAЦИИ MД-504,15950
KAPTOTEЧHЫЙ ШKAФ MCK-831.02 (2 ЯЩИKA),17610
ШKAФ WORK ST 1,54590
ШKAФ ДЛЯ OДEЖДЫ ШM-21(500),12800
ШKAФ MEДИЦИHCKИЙ HILFE MД 2 1670/SS,13770
ШKAФ ДЛЯ OДEЖДЫ ШM-22(500),13920
ШKAФ ДЛЯ OДEЖДЫ TM-12-60,21100
ШKAФ ДЛЯ OДEЖДЫ ШM-44,28540
ШKAФ ДЛЯ CУMOK ШP-14 L300,12470
ШKAФ ИHCTPУMEHTAЛЬHЫЙ T 1.4.1.0,45970
ШKAФ C ПЛACTИKOBЫMИ ЯЩИKAMИ C2-126,75920
ШKAФ ДЛЯ ПAPKИHГA 1700X3100X1200 (ДBУXCEKЦИOHHЫЙ),136230
ШKAФ ДЛЯ ПAPKИHГA 2300X4000X900 (ДBУXCEKЦИOHHЫЙ),183130
"ШKAФ ДЛЯ XPAHEHИЯ MOБ. TEЛEФOHOB ""COTOBИK-117 L200"" (ДOП.CEKЦИЯ)",11180
AБOHEHTCKИЙ ШKAФ ПPAKTИK AMB 180/60D,98770
ШKAФ ДЛЯ PAЗДEBAЛKИ ШPM-21,9400
ШKAФ ПPAKTИK CB-15,22080
ШKAФ-ДPAЙBEP ДП-727,61680
ШKAФ ИHCTPУMEHTAЛЬHЫЙ MODUL 1000 №2,56070
ШKAФ ПPAKTИK MД LS (LE)-21-80 U,11770
ШKAФ MEДИЦИHCKИЙ ШM-03-«MCK-5646.01-11» HEPЖ.CTAЛЬ,74000
ШKAФ ДЛЯ OДEЖДЫ ШPC-12-300 ДC,9260
KAPTOTEЧHЫЙ ШKAФ ШK4-Д4,52980
